iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,1,mouse,9,90,400,0,0,0,496.0,588.0,500.0,600.0,1,2197,1782578888446
1,1,mouse,9,90,400,0,5,1,561.0,200.0,568.4,212.1,1,819,1782578889265
1,1,mouse,9,90,400,0,1,2,385.0,549.0,371.4,553.2,1,642,1782578889907
1,1,mouse,9,90,400,0,6,3,684.0,260.0,673.2,300.0,1,663,1782578890570
1,1,mouse,9,90,400,0,2,4,290.0,433.0,303.0,434.7,1,793,1782578891363
1,1,mouse,9,90,400,0,7,5,698.0,425.0,697.0,434.7,1,569,1782578891932
1,1,mouse,9,90,400,0,3,6,324.0,301.0,326.8,300.0,1,637,1782578892569
1,1,mouse,9,90,400,0,8,7,646.0,560.0,628.6,553.2,1,723,1782578893292
1,1,mouse,9,90,400,0,4,8,442.0,197.0,431.6,212.1,1,610,1782578893902
2,1,mouse,9,90,400,0,0,0,492.0,609.0,500.0,600.0,1,536,1782578894438
2,1,mouse,9,90,400,0,5,1,575.0,222.0,568.4,212.1,1,687,1782578895125
2,1,mouse,9,90,400,0,1,2,372.0,565.0,371.4,553.2,1,615,1782578895740
2,1,mouse,9,90,400,0,6,3,667.0,287.0,673.2,300.0,1,721,1782578896461
2,1,mouse,9,90,400,0,2,4,293.0,434.0,303.0,434.7,1,661,1782578897122
2,1,mouse,9,90,400,0,7,5,707.0,434.0,697.0,434.7,1,659,1782578897781
2,1,mouse,9,90,400,0,3,6,320.0,288.0,326.8,300.0,1,683,1782578898464
2,1,mouse,9,90,400,0,8,7,648.0,550.0,628.6,553.2,1,675,1782578899139
2,1,mouse,9,90,400,0,4,8,447.0,206.0,431.6,212.1,1,776,1782578899915
3,1,mouse,9,90,400,0,0,0,497.0,626.0,500.0,600.0,1,604,1782578900519
3,1,mouse,9,90,400,0,5,1,557.0,213.0,568.4,212.1,1,546,1782578901065
3,1,mouse,9,90,400,0,1,2,346.0,600.0,371.4,553.2,0,546,1782578901611
3,1,mouse,9,90,400,0,1,2,371.0,555.0,371.4,553.2,1,984,1782578902049
3,1,mouse,9,90,400,0,6,3,685.0,301.0,673.2,300.0,1,670,1782578902719
3,1,mouse,9,90,400,0,2,4,321.0,424.0,303.0,434.7,1,526,1782578903245
3,1,mouse,9,90,400,0,7,5,711.0,432.0,697.0,434.7,1,557,1782578903802
3,1,mouse,9,90,400,0,3,6,334.0,311.0,326.8,300.0,1,629,1782578904431
3,1,mouse,9,90,400,0,8,7,616.0,539.0,628.6,553.2,1,561,1782578904992
3,1,mouse,9,90,400,0,4,8,441.0,200.0,431.6,212.1,1,623,1782578905615
