iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,pose,9,60,400,0,0,0,515.0,606.0,500.0,600.0,1,2454,1782743168562
1,3,pose,9,60,400,0,5,1,540.0,201.0,568.4,212.1,0,1254,1782743169816
1,3,pose,9,60,400,0,5,1,601.0,189.0,568.4,212.1,0,1817,1782743170379
1,3,pose,9,60,400,0,5,1,561.0,214.0,568.4,212.1,1,2971,1782743171533
1,3,pose,9,60,400,0,1,2,381.0,554.0,371.4,553.2,1,1783,1782743173316
1,3,pose,9,60,400,0,6,3,688.0,300.0,673.2,300.0,1,1856,1782743175172
1,3,pose,9,60,400,0,2,4,304.0,441.0,303.0,434.7,1,2080,1782743177252
1,3,pose,9,60,400,0,7,5,675.0,419.0,697.0,434.7,1,1671,1782743178923
1,3,pose,9,60,400,0,3,6,338.0,322.0,326.8,300.0,1,2032,1782743180955
1,3,pose,9,60,400,0,8,7,614.0,541.0,628.6,553.2,1,2109,1782743183064
1,3,pose,9,60,400,0,4,8,424.0,223.0,431.6,212.1,1,1857,1782743184921
2,3,pose,9,60,400,0,0,0,491.0,589.0,500.0,600.0,1,1722,1782743186643
2,3,pose,9,60,400,0,5,1,574.0,199.0,568.4,212.1,1,1471,1782743188114
2,3,pose,9,60,400,0,1,2,371.0,580.0,371.4,553.2,1,1813,1782743189927
2,3,pose,9,60,400,0,6,3,675.0,288.0,673.2,300.0,1,1827,1782743191754
2,3,pose,9,60,400,0,2,4,312.0,442.0,303.0,434.7,1,1772,1782743193526
2,3,pose,9,60,400,0,7,5,699.0,428.0,697.0,434.7,1,1315,1782743194841
2,3,pose,9,60,400,0,3,6,340.0,320.0,326.8,300.0,1,1226,1782743196067
2,3,pose,9,60,400,0,8,7,625.0,552.0,628.6,553.2,1,1544,1782743197611
2,3,pose,9,60,400,0,4,8,454.0,220.0,431.6,212.1,1,1602,1782743199213
3,3,pose,9,60,400,0,0,0,486.0,596.0,500.0,600.0,1,1509,1782743200722
3,3,pose,9,60,400,0,5,1,572.0,199.0,568.4,212.1,1,1429,1782743202151
3,3,pose,9,60,400,0,1,2,376.0,562.0,371.4,553.2,1,1791,1782743203942
3,3,pose,9,60,400,0,6,3,661.0,294.0,673.2,300.0,1,1399,1782743205341
3,3,pose,9,60,400,0,2,4,313.0,434.0,303.0,434.7,1,1735,1782743207076
3,3,pose,9,60,400,0,7,5,697.0,431.0,697.0,434.7,1,1421,1782743208497
3,3,pose,9,60,400,0,3,6,354.0,287.0,326.8,300.0,0,1408,1782743209905
3,3,pose,9,60,400,0,3,6,336.0,315.0,326.8,300.0,1,2586,1782743211083
3,3,pose,9,60,400,0,8,7,632.0,549.0,628.6,553.2,1,1661,1782743212744
3,3,pose,9,60,400,0,4,8,429.0,206.0,431.6,212.1,1,1479,1782743214223
