iteration,pid,technique,num_targets,target_w,target_d,latency_ms,target_id,step,click_x,click_y,target_x,target_y,success,mt_ms,timestamp
1,3,touchpad,9,90,400,0,0,0,474.0,565.0,500.0,600.0,1,1340,1782742499123
1,3,touchpad,9,90,400,0,5,1,591.0,211.0,568.4,212.1,1,1214,1782742500337
1,3,touchpad,9,90,400,0,1,2,345.0,555.0,371.4,553.2,1,907,1782742501244
1,3,touchpad,9,90,400,0,6,3,701.0,288.0,673.2,300.0,1,1093,1782742502337
1,3,touchpad,9,90,400,0,2,4,305.0,439.0,303.0,434.7,1,1101,1782742503438
1,3,touchpad,9,90,400,0,7,5,692.0,448.0,697.0,434.7,1,1072,1782742504510
1,3,touchpad,9,90,400,0,3,6,336.0,301.0,326.8,300.0,1,1049,1782742505559
1,3,touchpad,9,90,400,0,8,7,621.0,567.0,628.6,553.2,1,1014,1782742506573
1,3,touchpad,9,90,400,0,4,8,447.0,228.0,431.6,212.1,1,1029,1782742507602
2,3,touchpad,9,90,400,0,0,0,480.0,593.0,500.0,600.0,1,1050,1782742508652
2,3,touchpad,9,90,400,0,5,1,589.0,222.0,568.4,212.1,1,1157,1782742509809
2,3,touchpad,9,90,400,0,1,2,370.0,532.0,371.4,553.2,1,1093,1782742510902
2,3,touchpad,9,90,400,0,6,3,696.0,302.0,673.2,300.0,1,1115,1782742512017
2,3,touchpad,9,90,400,0,2,4,314.0,426.0,303.0,434.7,1,1078,1782742513095
2,3,touchpad,9,90,400,0,7,5,674.0,445.0,697.0,434.7,1,786,1782742513881
2,3,touchpad,9,90,400,0,3,6,342.0,301.0,326.8,300.0,1,993,1782742514874
2,3,touchpad,9,90,400,0,8,7,615.0,542.0,628.6,553.2,1,1049,1782742515923
2,3,touchpad,9,90,400,0,4,8,439.0,220.0,431.6,212.1,1,821,1782742516744
3,3,touchpad,9,90,400,0,0,0,510.0,607.0,500.0,600.0,1,1122,1782742517866
3,3,touchpad,9,90,400,0,5,1,585.0,232.0,568.4,212.1,1,999,1782742518865
3,3,touchpad,9,90,400,0,1,2,362.0,551.0,371.4,553.2,1,994,1782742519859
3,3,touchpad,9,90,400,0,6,3,686.0,301.0,673.2,300.0,1,1070,1782742520929
3,3,touchpad,9,90,400,0,2,4,319.0,414.0,303.0,434.7,1,1136,1782742522065
3,3,touchpad,9,90,400,0,7,5,686.0,439.0,697.0,434.7,1,1022,1782742523087
3,3,touchpad,9,90,400,0,3,6,338.0,309.0,326.8,300.0,1,1029,1782742524116
3,3,touchpad,9,90,400,0,8,7,604.0,547.0,628.6,553.2,1,1006,1782742525122
3,3,touchpad,9,90,400,0,4,8,440.0,217.0,431.6,212.1,1,907,1782742526029
