iteration,direction,pid,technique,tunnel_w,tunnel_a,latency_ms,start_ts,end_ts,duration_ms,violations
1,LR,2,pose,60,500,0,1782661610994,1782661612784,1790,0
1,RL,2,pose,60,500,0,1782661613250,1782661614437,1187,0
2,LR,2,pose,60,500,0,1782661615118,1782661618333,3215,0
2,RL,2,pose,60,500,0,1782661618874,1782661620753,1879,1
3,LR,2,pose,60,500,0,1782661621439,1782661624524,3085,0
3,RL,2,pose,60,500,0,1782661625193,1782661625914,721,1
1,LR,2,pose,60,500,0,1782661629812,1782661631661,1849,0
1,RL,2,pose,60,500,0,1782661632229,1782661634018,1789,1
2,LR,2,pose,60,500,0,1782661634497,1782661636704,2207,0
2,RL,2,pose,60,500,0,1782661637332,1782661638301,969,0
3,LR,2,pose,60,500,0,1782661638956,1782661640203,1247,0
3,RL,2,pose,60,500,0,1782661640673,1782661641638,965,0
1,LR,2,pose,60,500,0,1782661646898,1782661648627,1729,0
1,LR,2,pose,60,500,0,1782661656870,1782661658069,1199,0
1,LR,2,pose,60,500,0,1782661666395,1782661668065,1670,0
1,RL,2,pose,60,500,0,1782661668544,1782661669693,1149,0
2,LR,2,pose,60,500,0,1782661669899,1782661675683,5784,3
2,RL,2,pose,60,500,0,1782661676234,1782661686307,10073,2
3,LR,2,pose,60,500,0,1782661686579,1782661693846,7267,1
3,RL,2,pose,60,500,0,1782661694287,1782661695051,764,1
1,LR,2,pose,60,500,0,1782661698435,1782661699905,1470,0
1,RL,2,pose,60,500,0,1782661700641,1782661702307,1666,1
2,LR,2,pose,60,500,0,1782661703322,1782661705292,1970,0
2,RL,2,pose,60,500,0,1782661705890,1782661707108,1218,0
3,LR,2,pose,60,500,0,1782661707959,1782661709597,1638,0
3,RL,2,pose,60,500,0,1782661709928,1782661711932,2004,1
1,LR,2,pose,60,500,0,1782661714784,1782661716765,1981,0
1,RL,2,pose,60,500,0,1782661717349,1782661718955,1606,0
2,LR,2,pose,60,500,0,1782661719872,1782661722309,2437,0
2,RL,2,pose,60,500,0,1782661723126,1782661725295,2169,1
3,LR,2,pose,60,500,0,1782661726275,1782661727582,1307,0
3,RL,2,pose,60,500,0,1782661728458,1782661729492,1034,0
