iteration,direction,pid,technique,tunnel_w,tunnel_a,latency_ms,start_ts,end_ts,duration_ms,violations
1,LR,2,touchpad,100,350,0,1782662605478,1782662605530,52,0
1,RL,2,touchpad,100,350,0,1782662605817,1782662605962,145,0
2,LR,2,touchpad,100,350,0,1782662606250,1782662606327,77,0
2,RL,2,touchpad,100,350,0,1782662606335,1782662607187,852,1
1,LR,2,touchpad,100,350,0,1782662608835,1782662608921,86,0
1,RL,2,touchpad,100,350,0,1782662609244,1782662609371,127,0
2,LR,2,touchpad,100,350,0,1782662609680,1782662609798,118,0
2,RL,2,touchpad,100,350,0,1782662610069,1782662610180,111,0
3,LR,2,touchpad,100,350,0,1782662610510,1782662610629,119,0
3,RL,2,touchpad,100,350,0,1782662610909,1782662611002,93,0
1,LR,2,touchpad,100,350,0,1782662615546,1782662615665,119,0
1,RL,2,touchpad,100,350,0,1782662616003,1782662616053,50,0
1,LR,2,touchpad,100,350,0,1782662617624,1782662617835,211,0
1,RL,2,touchpad,100,350,0,1782662618049,1782662618125,76,0
2,LR,2,touchpad,100,350,0,1782662618441,1782662618526,85,0
2,RL,2,touchpad,100,350,0,1782662618849,1782662619037,188,0
3,LR,2,touchpad,100,350,0,1782662619283,1782662619392,109,0
3,RL,2,touchpad,100,350,0,1782662619666,1782662619734,68,0
1,LR,2,touchpad,100,350,0,1782662621980,1782662622064,84,0
1,RL,2,touchpad,100,350,0,1782662622379,1782662622497,118,0
2,LR,2,touchpad,100,350,0,1782662622736,1782662622821,85,0
2,RL,2,touchpad,100,350,0,1782662623094,1782662623254,160,0
3,LR,2,touchpad,100,350,0,1782662623654,1782662623714,60,0
3,RL,2,touchpad,100,350,0,1782662624032,1782662624440,408,0
